Employee_ID,Age,Gender,Department,Job_Role,Salary,Performance_Rating,Hire_Date,Years_of_Experience,City,Education,Work_Mode,Attrition
E104,42,Male,Finance,Accountant,38000,3,2018-08-16,12,Nashik,Master's,On-site,No
E105,29,Male,Operations,Operations Executive,58000,4,2019-09-02,7,Mumbai,MBA,On-site,No
E106,54,Male,Finance,Payroll Specialist,42000,4,2025-09-22,21,Pune,Diploma,Remote,No
E107,54,Female,Finance,Financial Analyst,67000,4,2017-05-08,19,Nashik,Diploma,Hybrid,No
E108,52,Female,Operations,Operations Executive,40000,5,2020-08-12,22,Mumbai,MBA,Remote,No
E109,45,Female,Operations,Process Coordinator,65000,4,2021-10-29,13,Pune,Master's,Hybrid,No
E110,47,Female,Sales,Sales Analyst,61000,3,2025-03-08,14,Bengaluru,MBA,Hybrid,No
E111,25,Male,Finance,Payroll Specialist,43000,2,2018-01-31,5,Nashik,Master's,Remote,No
E112,28,Female,IT,System Administrator,64000,5,2025-06-01,5,Chennai,Bachelor's,Hybrid,No
E113,43,Male,Marketing,Marketing Analyst,67000,3,2024-05-13,15,Pune,MBA,Remote,No
E114,38,Male,HR,HR Executive,60000,3,2023-04-17,15,Delhi,Bachelor's,Remote,No
E115,22,Male,Operations,Process Coordinator,53000,4,2020-06-19,0,Mumbai,Master's,Remote,No
E116,25,Male,Operations,Operations Manager,37000,2,2022-12-13,1,Hyderabad,MBA,On-site,No
E117,41,Male,HR,HR Analyst,63000,2,2018-10-07,17,Chennai,Bachelor's,Hybrid,No
E118,52,Female,Sales,Sales Manager,58000,3,2025-06-20,22,Hyderabad,Bachelor's,Hybrid,No
E119,54,Female,Operations,Operations Manager,38000,3,2023-09-21,19,Bengaluru,Master's,On-site,Yes
E120,41,Male,HR,HR Analyst,35000,4,2021-10-30,12,Delhi,Master's,Remote,No
E121,25,Female,Marketing,Marketing Analyst,37000,3,2022-02-27,0,Delhi,Diploma,Remote,No
E122,39,Male,Sales,Sales Manager,57000,1,2020-08-23,10,Delhi,Diploma,Remote,No
E123,48,Male,HR,HR Executive,42000,3,2021-06-29,19,Nashik,MBA,Remote,No
E124,42,Male,HR,Recruiter,37000,4,2018-04-13,15,Nashik,MBA,Hybrid,No
E125,36,Male,Operations,Operations Analyst,45000,3,2018-12-12,11,Nashik,Bachelor's,On-site,No
E126,50,Female,Operations,Operations Manager,56000,5,2024-01-14,18,Pune,Diploma,Hybrid,No
E127,38,Male,Operations,Process Coordinator,58000,4,2020-06-25,12,Pune,MBA,Hybrid,No
E128,53,Female,IT,Software Developer,71000,4,2025-11-18,23,Hyderabad,Master's,Hybrid,No
E129,53,Male,Marketing,Content Specialist,38000,4,2020-11-07,23,Chennai,Master's,On-site,No
E130,49,Male,Finance,Payroll Specialist,61000,3,2020-03-04,19,Bengaluru,Bachelor's,Remote,No
E131,25,Female,Operations,Process Coordinator,42000,4,2021-05-03,2,Nashik,Master's,Hybrid,No
E132,43,Female,IT,Data Analyst,83000,4,2021-05-25,13,Pune,MBA,Remote,No
E133,29,Male,Sales,Business Development Executive,59000,4,2017-03-16,5,Mumbai,MBA,Hybrid,No
E134,29,Male,Finance,Accountant,42000,3,2025-11-03,3,Delhi,Bachelor's,Remote,No
E135,45,Male,HR,Recruiter,40000,3,2024-10-08,19,Mumbai,Diploma,On-site,No
E136,36,Female,Sales,Business Development Executive,50000,4,2025-10-16,10,Mumbai,MBA,Hybrid,No
E137,49,Female,Finance,Finance Executive,56000,4,2022-08-22,20,Mumbai,Master's,Remote,No
E138,24,Female,Finance,Finance Executive,61000,4,2018-02-25,4,Nashik,Bachelor's,Hybrid,No
E139,38,Female,IT,Data Analyst,74000,3,2021-11-27,9,Mumbai,Diploma,Hybrid,No
E140,24,Female,IT,QA Engineer,74000,3,2021-05-01,0,Pune,MBA,On-site,No
E141,30,Male,Operations,Process Coordinator,38000,3,2022-04-20,8,Nashik,Diploma,Hybrid,No
E142,26,Male,Marketing,Marketing Executive,51000,3,2018-09-05,5,Delhi,Diploma,On-site,No
E143,40,Male,HR,Recruiter,36000,3,2024-03-02,16,Pune,Bachelor's,Hybrid,No
E144,53,Male,Marketing,Marketing Executive,44000,3,2017-01-07,22,Delhi,Diploma,On-site,No
E145,54,Female,Operations,Operations Executive,40000,5,2023-02-07,23,Delhi,Bachelor's,Hybrid,No
E146,45,Female,Sales,Sales Executive,48000,4,2021-01-02,19,Mumbai,Bachelor's,Remote,Yes
E147,29,Male,Operations,Process Coordinator,58000,4,2024-03-17,4,Chennai,Diploma,Remote,No
E148,29,Male,Sales,Sales Analyst,61000,1,2019-04-06,3,Pune,MBA,Hybrid,No
E149,55,Female,Marketing,Content Specialist,51000,1,2024-04-03,21,Nashik,Bachelor's,Remote,No
E150,28,Female,HR,HR Analyst,48000,5,2025-05-03,5,Hyderabad,MBA,On-site,No
E151,44,Female,Sales,Sales Manager,37000,4,2017-11-20,15,Nashik,Master's,Remote,No
E152,27,Male,HR,HR Analyst,45000,4,2020-06-09,4,Hyderabad,Master's,Remote,No
E153,49,Male,Sales,Business Development Executive,54000,4,2021-11-17,18,Nashik,Bachelor's,On-site,No
E154,44,Male,Operations,Operations Manager,37000,3,2023-10-25,17,Pune,Master's,On-site,No
E155,44,Female,Finance,Finance Executive,40000,4,2024-08-13,15,Bengaluru,Diploma,On-site,No
E156,54,Female,Marketing,Digital Marketing Specialist,60000,3,2020-02-16,20,Pune,Master's,Hybrid,No
E157,28,Female,Marketing,Content Specialist,51000,4,2019-05-29,6,Hyderabad,Master's,On-site,No
E158,49,Male,Finance,Financial Analyst,66000,5,2024-08-25,22,Chennai,MBA,Remote,No
E159,40,Male,IT,System Administrator,82000,3,2021-01-20,14,Mumbai,Master's,On-site,No
E160,44,Female,Sales,Sales Executive,61000,4,2023-03-10,13,Pune,Bachelor's,Hybrid,No
E161,54,Female,Sales,Sales Manager,58000,5,2017-10-30,20,Chennai,Bachelor's,Hybrid,No
E162,29,Male,Sales,Business Development Executive,40000,3,2017-08-15,9,Mumbai,MBA,On-site,No
E163,35,Female,Finance,Finance Executive,71000,5,2017-11-20,9,Delhi,MBA,On-site,No
E164,55,Male,Operations,Process Coordinator,68000,4,2023-08-22,24,Chennai,MBA,Remote,No
E165,26,Male,IT,Software Developer,83000,4,2019-12-21,6,Delhi,Diploma,Remote,No
E166,52,Female,Operations,Operations Executive,55000,4,2024-09-06,21,Pune,Bachelor's,On-site,No
E167,51,Female,Sales,Sales Manager,45000,3,2018-08-12,19,Bengaluru,MBA,Hybrid,No
E168,53,Male,Finance,Finance Executive,58000,3,2018-05-17,20,Mumbai,Bachelor's,On-site,No
E169,47,Male,HR,Training Coordinator,65000,5,2018-10-17,20,Delhi,MBA,On-site,No
E170,53,Female,Finance,Payroll Specialist,69000,5,2022-07-31,18,Hyderabad,Diploma,On-site,No
E171,24,Male,Finance,Finance Executive,56000,4,2024-05-03,4,Delhi,Bachelor's,On-site,No
E172,37,Female,Sales,Sales Analyst,57000,3,2021-06-29,8,Mumbai,MBA,Remote,No
E173,45,Female,HR,HR Executive,59000,4,2023-12-28,18,Mumbai,Bachelor's,Hybrid,No
E174,44,Male,HR,HR Analyst,41000,4,2021-07-03,16,Pune,Master's,Remote,Yes
E175,54,Female,HR,Training Coordinator,39000,4,2022-10-13,20,Delhi,MBA,On-site,No
E176,42,Female,Sales,Business Development Executive,68000,3,2017-03-10,13,Pune,Diploma,Remote,No
E177,51,Female,HR,HR Executive,65000,4,2025-09-15,21,Chennai,Bachelor's,Remote,No
E178,54,Female,Sales,Sales Analyst,41000,5,2019-09-20,19,Chennai,Bachelor's,On-site,No
E179,41,Female,IT,QA Engineer,51000,3,2019-04-16,14,Delhi,Diploma,Remote,No
E180,29,Male,Operations,Operations Executive,56000,5,2022-05-14,7,Mumbai,Diploma,Remote,No
E181,37,Female,HR,HR Analyst,41000,5,2020-02-17,12,Bengaluru,MBA,Remote,No
E182,41,Female,Finance,Payroll Specialist,60000,4,2025-12-02,16,Pune,Diploma,Hybrid,No
E183,39,Male,HR,Recruiter,44000,5,2017-11-20,11,Chennai,MBA,Remote,No
E184,33,Female,Sales,Sales Analyst,67000,4,2018-07-17,5,Delhi,Master's,On-site,No
E185,35,Male,IT,Data Analyst,48000,3,2025-01-17,10,Nashik,Master's,On-site,No
E186,47,Female,Marketing,Digital Marketing Specialist,65000,4,2025-06-24,16,Chennai,Bachelor's,On-site,No
E187,55,Male,Operations,Operations Analyst,47000,3,2018-12-22,20,Hyderabad,Diploma,On-site,No
E188,23,Male,Operations,Process Coordinator,55000,4,2018-03-16,1,Chennai,Diploma,On-site,No
E189,38,Male,Marketing,Content Specialist,42000,3,2025-03-14,12,Chennai,Master's,On-site,No
E190,39,Male,Operations,Process Coordinator,47000,4,2024-03-01,12,Delhi,MBA,On-site,No
E191,32,Male,Sales,Sales Executive,62000,3,2019-10-14,5,Mumbai,Diploma,Hybrid,No
E192,21,Female,HR,HR Analyst,55000,3,2019-08-26,0,Hyderabad,MBA,On-site,No
E193,28,Female,Sales,Business Development Executive,55000,4,2019-06-17,3,Hyderabad,MBA,Hybrid,No
E194,55,Male,Operations,Operations Manager,51000,4,2023-09-07,25,Delhi,Diploma,Remote,No
E195,25,Male,Operations,Process Coordinator,39000,5,2022-09-02,1,Mumbai,Master's,Hybrid,No
E196,28,Male,Marketing,Content Specialist,66000,2,2022-09-22,5,Hyderabad,Master's,Remote,No
E197,24,Female,Sales,Sales Manager,51000,4,2021-06-10,1,Chennai,Master's,Remote,No
E198,48,Female,IT,Software Developer,46000,4,2017-09-04,15,Hyderabad,Bachelor's,Hybrid,No
E199,29,Female,Sales,Sales Analyst,55000,5,2021-04-16,6,Hyderabad,Diploma,On-site,No
E200,43,Male,Operations,Operations Analyst,47000,5,2021-05-29,16,Mumbai,Bachelor's,On-site,No
E201,55,Female,HR,Training Coordinator,52000,3,2019-07-30,21,Mumbai,MBA,On-site,No
E202,23,Female,Operations,Operations Executive,37000,3,2017-10-03,0,Hyderabad,Bachelor's,On-site,No
E203,46,Female,Operations,Operations Executive,50000,4,2025-06-17,20,Mumbai,MBA,On-site,No
E204,41,Male,Operations,Process Coordinator,55000,5,2024-05-28,15,Bengaluru,MBA,On-site,No
E205,48,Female,Marketing,Digital Marketing Specialist,38000,5,2024-03-20,20,Delhi,MBA,Remote,No
E206,30,Female,Sales,Sales Manager,56000,3,2023-01-13,6,Mumbai,MBA,Remote,No
E207,24,Female,Finance,Payroll Specialist,64000,4,2018-07-04,2,Mumbai,MBA,Remote,No
E208,44,Male,IT,QA Engineer,76000,4,2019-02-20,12,Chennai,Bachelor's,On-site,No
E209,51,Male,Finance,Accountant,59000,3,2017-03-04,18,Chennai,Bachelor's,Remote,No
E210,34,Female,Sales,Sales Analyst,47000,4,2025-09-12,8,Delhi,MBA,Hybrid,No
E211,53,Female,HR,HR Analyst,49000,2,2025-02-07,21,Bengaluru,Master's,Hybrid,No
E212,23,Male,HR,Training Coordinator,58000,3,2019-12-05,3,Delhi,Diploma,Hybrid,No
E213,42,Male,Finance,Accountant,62000,4,2019-10-04,14,Chennai,MBA,Hybrid,No
E214,50,Male,Sales,Sales Manager,54000,3,2025-01-29,20,Delhi,Bachelor's,Remote,No
E215,24,Male,IT,Software Developer,68000,2,2024-01-28,0,Mumbai,Bachelor's,On-site,Yes
E216,44,Male,Marketing,Content Specialist,65000,4,2017-03-06,12,Hyderabad,Bachelor's,On-site,No
E217,55,Female,Marketing,Marketing Analyst,36000,4,2024-10-29,25,Mumbai,Bachelor's,On-site,No
E218,36,Male,Marketing,Digital Marketing Specialist,68000,3,2020-12-22,9,Pune,MBA,Hybrid,No
E219,35,Female,Sales,Sales Analyst,37000,4,2024-04-15,13,Hyderabad,Diploma,Hybrid,Yes
E220,24,Male,Marketing,Content Specialist,45000,2,2021-11-13,4,Delhi,Bachelor's,Remote,No
E221,34,Female,IT,Data Analyst,59000,2,2017-11-01,11,Delhi,Bachelor's,On-site,No
E222,34,Male,HR,HR Executive,59000,5,2021-06-20,6,Delhi,Master's,Remote,No
E223,45,Male,Sales,Business Development Executive,37000,4,2020-11-17,13,Mumbai,Bachelor's,Hybrid,No
E224,41,Male,Marketing,Content Specialist,52000,4,2022-01-20,14,Delhi,Diploma,Hybrid,No
E225,26,Female,Finance,Payroll Specialist,53000,4,2017-12-03,3,Chennai,Master's,Remote,No
E226,44,Male,Sales,Business Development Executive,37000,1,2020-06-16,15,Bengaluru,Bachelor's,On-site,No
E227,48,Female,IT,Data Analyst,77000,4,2021-07-30,15,Bengaluru,Bachelor's,Remote,Yes
E228,45,Male,Marketing,Marketing Analyst,53000,3,2025-09-27,13,Delhi,Master's,Remote,No
E229,45,Male,Marketing,Digital Marketing Specialist,43000,3,2020-01-05,16,Mumbai,Diploma,Hybrid,No
E230,51,Male,Sales,Business Development Executive,55000,3,2019-10-08,22,Delhi,Master's,Hybrid,No
E231,40,Male,IT,Data Analyst,67000,3,2023-12-16,13,Bengaluru,Diploma,Hybrid,No
E232,40,Female,Sales,Sales Analyst,70000,5,2019-04-03,13,Hyderabad,MBA,Hybrid,No
E233,36,Female,Operations,Operations Manager,60000,3,2025-10-24,10,Delhi,Master's,Remote,No
E234,22,Female,Marketing,Digital Marketing Specialist,48000,3,2020-04-08,4,Nashik,Diploma,Remote,No
E235,40,Male,Sales,Sales Analyst,48000,4,2025-01-08,13,Pune,Diploma,Remote,No
E236,55,Female,Sales,Sales Manager,66000,1,2021-01-12,25,Delhi,Bachelor's,On-site,No
E237,31,Male,Finance,Finance Executive,63000,5,2020-09-20,10,Pune,Bachelor's,Hybrid,No
E238,49,Female,Finance,Accountant,63000,4,2024-08-15,20,Mumbai,MBA,On-site,No
E239,39,Female,Sales,Sales Executive,37000,2,2025-03-10,10,Bengaluru,Diploma,On-site,No
E240,43,Female,Marketing,Content Specialist,41000,3,2024-10-24,15,Bengaluru,Bachelor's,Remote,No
E241,42,Male,IT,Software Developer,85000,4,2025-04-22,12,Delhi,Master's,Hybrid,No
E242,50,Male,Marketing,Content Specialist,60000,4,2019-02-03,21,Hyderabad,Bachelor's,Remote,No
E243,49,Female,Marketing,Digital Marketing Specialist,59000,1,2019-05-30,17,Chennai,Bachelor's,Remote,No
E244,44,Female,IT,Data Analyst,54000,4,2019-12-11,17,Delhi,MBA,Remote,No
E245,28,Female,Sales,Sales Manager,54000,5,2023-12-04,3,Chennai,MBA,Remote,No
E246,29,Female,Marketing,Marketing Executive,42000,3,2018-04-25,4,Mumbai,Diploma,Hybrid,No
E247,45,Female,Marketing,Digital Marketing Specialist,46000,4,2023-01-11,18,Mumbai,Master's,Hybrid,No
E248,32,Female,HR,Recruiter,61000,4,2017-08-08,11,Pune,Diploma,On-site,No
E249,53,Female,Finance,Payroll Specialist,64000,4,2021-08-30,23,Hyderabad,Master's,On-site,No
E250,35,Female,Marketing,Marketing Executive,37000,3,2023-01-12,9,Hyderabad,Diploma,Remote,No
E251,28,Female,Marketing,Marketing Executive,58000,4,2025-06-27,2,Hyderabad,Master's,Hybrid,No
E252,40,Male,IT,Data Analyst,70000,3,2017-12-23,13,Pune,Master's,On-site,No
E253,48,Male,Operations,Process Coordinator,44000,4,2019-04-28,21,Bengaluru,MBA,Remote,Yes
E254,41,Female,Marketing,Digital Marketing Specialist,53000,4,2022-10-09,16,Mumbai,Diploma,On-site,No
E255,29,Male,HR,Recruiter,39000,4,2019-10-11,9,Hyderabad,Diploma,On-site,No
E256,47,Female,Marketing,Marketing Analyst,63000,2,2025-11-29,20,Delhi,MBA,Remote,Yes
E257,52,Female,HR,Training Coordinator,53000,1,2025-09-06,24,Chennai,Diploma,Remote,No
E258,25,Female,Operations,Process Coordinator,49000,5,2019-05-18,3,Nashik,MBA,Hybrid,No
E259,52,Female,Marketing,Digital Marketing Specialist,38000,2,2024-01-09,24,Pune,Bachelor's,On-site,No
E260,21,Female,Sales,Sales Manager,44000,5,2018-06-25,3,Nashik,MBA,On-site,No
E261,37,Male,Operations,Process Coordinator,59000,4,2024-04-11,9,Chennai,MBA,Remote,Yes
E262,48,Male,Operations,Operations Analyst,42000,1,2022-05-08,15,Mumbai,Diploma,On-site,Yes
E263,28,Female,IT,System Administrator,50000,4,2019-07-27,5,Nashik,Bachelor's,On-site,No
E264,40,Male,HR,HR Analyst,47000,4,2025-06-12,16,Chennai,Master's,On-site,No
E265,31,Female,Marketing,Marketing Executive,57000,4,2024-01-17,9,Hyderabad,Diploma,On-site,No
E266,29,Male,IT,Software Developer,79000,4,2020-12-10,6,Mumbai,Master's,Hybrid,No
E267,36,Female,Operations,Operations Executive,37000,5,2024-05-20,9,Delhi,Master's,Remote,No
E268,24,Male,Sales,Business Development Executive,63000,3,2019-09-15,2,Pune,Bachelor's,Hybrid,No
E269,45,Female,HR,Recruiter,46000,4,2018-12-09,19,Nashik,Bachelor's,On-site,No
E270,21,Female,Marketing,Marketing Executive,48000,1,2017-09-05,4,Bengaluru,Diploma,Hybrid,No
E271,26,Male,Operations,Operations Manager,53000,2,2017-11-20,5,Nashik,Master's,Remote,No
E272,25,Female,HR,Training Coordinator,57000,3,2019-09-05,0,Hyderabad,Bachelor's,Hybrid,No
